,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
ZHCC,0,1,2,1,1,1,0,0,0,2,2,1,0,0,0,1,0,1,0,0,0,1,0,0,4,1,1,5,7,5,5,2,5,5,5,3,6,3,5,4,3,3,5,5,8,6,5,3,4,3,2,6,4,8,4,7,1,6,6,5,4,4,5,4,0,8,6,3,6,4,4,2,3,5,2,4,4,9,3,4,4,6,5,5,2,1,3,3,4,3,2,5,4,4,0,2
ZSAM,0,2,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7,9,5,5,8,4,6,3,4,6,0,3,6,4,4,1,3,6,7,2,4,2,6,3,6,1,6,1,4,3,7,2,1,4,5,1,2,4,2,4,2,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ZWWW,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,8,7,7,8,9,2,10,4,7,6,9,8,0,6,5,0,0,3,5,1,4,4,3,2,3,2,6,2,2,5,4,4,4,6,5,6,3,6,5,4,4,3,3,2,4,6,6,4,2,4,7,1,4,5,5,0,2,5,2,1,3,0,0,0,0
ZSQD,0,0,0,1,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,2,1,0,1,0,0,1,3,8,7,6,8,6,7,4,1,5,5,4,2,3,7,3,3,3,6,3,4,1,4,3,3,3,6,3,2,6,5,2,2,4,5,2,3,2,6,3,2,5,6,3,1,4,5,4,1,4,2,2,6,5,5,2,3,3,6,2,1,3,5,3,3,3,2,3,1
ZJHK,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,7,10,3,5,5,4,5,5,6,3,4,1,4,5,4,6,3,3,2,2,4,3,2,2,2,2,4,6,3,1,2,3,1,5,1,5,4,7,3,3,2,3,2,3,1,2,2,1,4,7,5,4,0,4,4,1,1,6,3,6,1,1,0,1,2,3,1,3,0
ZYTX,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,2,5,6,8,8,5,3,3,5,6,3,4,4,1,2,5,2,5,1,1,4,1,7,6,4,3,1,4,2,3,1,7,2,4,3,3,3,3,3,7,2,1,2,5,2,6,2,5,1,2,3,3,3,3,4,4,1,4,4,2,1,0,0,3,1,1,0
ZBTJ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,6,3,8,5,7,6,5,2,6,1,4,2,3,3,1,4,6,1,6,3,5,0,2,5,5,5,0,1,3,6,3,2,3,3,3,3,4,5,5,1,1,9,3,1,4,4,0,4,4,2,1,2,3,6,3,0,2,2,0,0,1,1,0,3,1,0,0,0
ZYHB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,7,4,5,4,4,7,6,4,3,5,2,2,4,2,8,3,5,5,2,4,3,3,3,4,2,3,4,2,3,1,1,6,4,5,6,4,3,0,3,2,6,3,3,3,5,4,5,1,2,4,3,2,2,3,3,4,1,1,2,1,3,4,2,1,1,1,0,0
ZUGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,6,4,5,8,6,3,1,2,0,3,3,4,3,5,4,5,4,1,3,4,3,1,3,2,2,6,4,5,5,1,2,3,2,1,6,3,4,4,5,3,3,1,3,2,2,6,2,4,2,1,5,6,4,0,1,3,1,0,0,5,3,1,5,1,3,1
ZSJN,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4,0,8,2,2,4,6,0,4,1,4,2,1,2,3,4,5,2,4,3,4,3,7,4,1,3,5,2,5,2,5,4,4,2,1,1,2,4,4,5,7,5,3,1,2,4,1,3,3,6,1,4,4,4,7,5,3,3,2,0,3,3,5,1,1,4,1,0,0
ZYTL,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,4,5,3,4,3,5,6,4,4,1,2,3,1,4,3,4,7,1,2,4,5,1,1,2,6,5,4,4,2,2,3,3,1,2,1,3,3,4,0,3,5,3,2,0,1,6,2,4,3,5,4,1,6,4,2,2,2,0,2,1,6,1,7,3,4,2,4
ZJSY,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,3,3,2,7,2,4,2,3,3,3,2,1,0,2,3,0,6,2,2,3,2,3,4,4,1,3,1,3,4,2,4,1,1,2,4,2,2,4,7,2,2,3,2,4,1,3,1,3,2,4,3,1,3,3,2,1,3,2,3,2,2,2,1,3,2,1
ZLLL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,2,5,2,2,0,5,5,0,0,3,1,4,5,7,6,1,2,5,3,5,1,5,2,3,2,3,6,4,2,5,4,3,3,3,4,4,3,2,1,3,3,4,0,5,2,7,2,0,3,4,1,3,0,7,0,4,1,4,1,1,4,4,0,2,0
ZYCC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,7,5,4,1,3,3,3,2,5,2,2,2,3,1,6,1,2,3,2,3,5,3,4,1,3,3,7,0,2,1,5,3,5,5,5,1,4,2,1,2,2,1,4,3,7,2,2,3,2,5,2,2,2,0,2,0,4,0,2,0,0,1,0,0
ZGNN,1,1,1,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,5,3,10,3,0,1,3,2,1,2,4,1,3,5,3,2,3,2,3,2,3,2,4,2,1,2,6,1,2,4,3,4,3,4,1,3,3,3,1,0,2,1,2,0,2,2,3,4,3,1,2,0,3,2,2,0,2,0,1,1,1,0,3,2,0
ZBHH,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,3,3,3,2,3,1,4,0,3,2,2,4,3,5,1,4,4,3,0,6,3,2,2,3,4,3,5,0,6,1,2,6,0,3,4,4,2,3,3,3,3,2,4,1,2,2,4,1,5,1,1,1,3,2,2,3,0,1,2,2,3,1,0,0
ZBYN,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,4,5,4,3,0,2,1,2,1,3,2,3,3,5,5,0,0,1,5,3,1,4,3,0,2,3,2,0,0,3,2,3,2,4,0,0,4,3,2,3,1,5,2,4,1,5,0,1,2,4,2,1,3,3,1,1,1,2,3,1,1,2,0,3,1
ZSNB,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,3,1,4,3,1,4,4,1,2,1,4,0,2,2,6,4,2,0,3,5,1,0,4,3,4,2,1,3,0,4,1,4,2,0,3,4,2,0,1,6,2,0,3,4,2,1,1,3,5,1,3,2,3,4,0,0,2,0,3,2,2,2,0,3,1,0,0
ZSOF,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,1,3,6,2,0,3,1,2,3,2,3,0,3,3,1,2,3,4,3,1,3,3,4,3,2,3,2,2,4,2,5,2,1,0,3,3,3,2,0,3,2,3,2,3,2,4,1,1,4,1,3,1,3,3,3,1,1,3,4,1,0,1,2,1,0
ZSFZ,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,3,3,4,5,5,5,4,1,4,1,2,1,0,3,1,3,3,3,2,2,5,0,1,2,1,1,2,3,2,1,0,3,1,3,0,3,3,1,3,1,5,0,1,2,1,2,0,1,0,1,3,3,2,0,0,0,3,1,0,2,0,0,0,0,1,0,0
ZSWZ,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2,2,1,1,4,1,1,3,4,1,2,4,1,4,3,3,1,2,2,3,4,1,3,2,6,2,2,3,2,2,1,1,2,1,2,1,4,2,2,5,4,3,2,2,1,2,1,3,1,2,4,0,3,2,1,1,4,1,1,2,1,1,1,1,0,0,0
ZSCN,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,2,2,2,5,1,3,1,4,1,1,4,2,3,3,2,2,3,1,3,2,4,1,1,1,1,2,3,4,0,0,1,1,1,2,4,1,2,0,4,4,1,2,5,1,0,2,4,3,3,3,2,2,2,1,2,1,0,0,1,2,2,2,1,1,0,1
ZGSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,0,3,5,2,1,3,1,2,3,3,0,3,1,0,1,3,4,2,1,0,1,3,3,3,2,2,0,4,0,1,1,3,4,0,1,2,2,1,4,3,2,3,2,3,1,4,3,2,3,1,1,3,3,4,1,1,0,2,3,2,1,0,0,0
ZSWX,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,7,1,3,3,4,0,0,1,1,1,3,0,0,1,2,2,1,1,4,0,1,2,2,2,2,2,1,2,1,0,3,2,2,2,3,2,0,1,1,2,2,1,1,3,0,1,0,1,2,1,5,3,2,0,2,2,0,0,0,0,1,0,0,0,0,0
ZBSJ,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,2,1,3,1,3,1,0,0,2,1,2,0,0,1,3,2,0,2,1,3,1,1,3,3,2,2,0,0,1,1,0,0,3,2,5,5,1,1,2,1,1,0,1,0,2,1,4,2,0,1,3,2,1,2,1,4,3,4,0,1,2,0,1,1,0,2
ZSYT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,1,2,0,3,1,1,2,4,1,1,3,1,1,1,4,3,0,4,1,2,2,3,2,2,3,3,0,3,2,2,2,4,2,0,3,0,2,2,5,2,0,1,4,0,1,1,1,3,0,1,3,4,0,0,0,2,2,1,2,1,2,1
ZLXN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,3,0,1,0,2,0,3,1,0,0,2,2,5,2,3,3,2,3,4,1,4,2,4,4,6,1,1,1,1,4,2,3,1,2,4,3,0,2,0,4,6,2,1,1,4,0,4,1,4,3,6,1,1,1,2,2,1,0,0,0,4,1,0,0
ZLIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,2,2,3,0,2,0,1,0,0,2,3,3,0,3,4,2,1,2,3,4,3,5,4,3,5,1,3,1,0,1,4,2,1,1,3,1,0,2,1,2,1,0,3,0,1,0,0,3,2,3,6,3,0,2,1,2,4,1,2,2,1,3,1,0,0,0
ZPLJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,1,0,1,0,2,0,0,0,0,3,3,2,5,2,2,1,3,3,1,4,3,3,1,0,0,1,2,1,1,1,1,1,1,1,3,0,2,0,2,0,3,1,1,2,1,1,0,0,2,2,1,2,3,1,0,2,0,2,2,3,1,0,3,0,0,2
ZGOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,2,3,1,0,2,0,1,1,1,1,2,2,0,1,3,1,3,2,3,0,1,1,2,2,1,3,0,2,2,2,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZPJH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,1,2,1,1,0,3,3,1,0,2,0,2,1,1,1,1,0,2,4,0,3,2,1,1,1,4,2,1,0,1,3,4,2,0,3,0,0,0,0,5,1,1,1,0,1,0,3,0,1,1,1,1,0,2,0,0,1,1,0,1,0,1
ZSQZ,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,2,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZGKL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,2,2,0,1,1,1,1,3,5,1,1,0,2,3,1,2,0,0,1,1,2,2,0,0,1,1,1,5,1,2,2,0,0,1,2,1,1,0,0,1,1,0,0,2,1,1,1,0,0,2,0,2,0,4,0,0,2,1,0,1
ZULS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,1,0,1,1,2,1,1,2,1,1,2,1,1,1,1,3,6,1,1,0,0,0,4,2,1,1,2,1,2,1,3,0,1,2,1,1,0,1,1,2,2,1,2,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZSCG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,0,0,0,1,1,0,2,1,0,2,0,0,0,3,2,0,1,2,1,1,0,1,1,1,0,1,1,0,1,0,0,1,3,1,0,1,2,0,0,0,1,0,2,0,1,2,1,0,2,1,0,1,0,0,0,1,2,0,0,2,0,0,0
ZSNT,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,2,1,1,0,1,0,1,1,0,1,1,0,0,2,1,3,2,0,1,0,0,0,1,1,1,0,1,0,2,1,0,0,1,0,1,0,0,3,2,1,1,0,2,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
